com.google.android.webview	Tools
com.instagram.boomerang	Photography
com.joelapenna.foursquared	Food & Drink
com.devhd.feedly	News & Magazines
com.google.android.googlequicksearchbox	Tools
com.skype.raider	Communication
com.facebook.orca	Communication
de.hubermedia.android.kompass	Health & Fitness
com.knudge.me	Education
com.yazio.android	Health & Fitness
it.froggy.android.radio105	Music & Audio
com.justeat.app.it	Food & Drink
it.creaweb.ucicinemas	Entertainment
com.booking	Travel & Local
com.google.android.apps.translate	Tools
tv.cinetrailer.mobile.b	Entertainment
com.qwant.liberty	Tools
com.tymate.domyos.coach	Health & Fitness
it.subito	Lifestyle
com.google.android.youtube	Video Players & Editors
it.immobiliare.android	Lifestyle
com.google.android.apps.books	Books & Reference
com.linkedin.android	Social
com.trecaravelle.android.carrefour	Shopping
org.xbmc.kore	Video Players & Editors
com.google.android.gm	Communication
it.tinaba.app	Business
com.sputniknews.sputnik	News & Magazines
com.medium.reader	News & Magazines
de.bonprix	Shopping
com.sentres	Travel & Local
com.grinasys.weightlossgoogleplay	Health & Fitness
com.capitainetrain.android	Travel & Local
com.google.android.apps.docs	Productivity
com.wali.live	Social
it.atm.appmobile	Maps & Navigation
com.amazon.mShop.android.shopping	Shopping
com.airbnb.android	Travel & Local
com.google.android.marvin.talkback	Tools
fi.polar.beat	Health & Fitness
com.netflix.mediaclient	Entertainment
air.com.myheritage.mobile	Books & Reference
com.kickstarter.kickstarter	Social
com.intsig.camscanner	Productivity
com.google.android.videos	Video Players & Editors
com.retalix.unicoop	Shopping
net.slideshare.mobile	Business
org.vernazza.androidfuel	Maps & Navigation
org.telegram.messenger	Communication
com.google.android.tts	Tools
com.owlylabs.dukan	Health & Fitness
it.banzai.media.gzricette	Food & Drink
com.paypal.android.p2pmobile	Finance
com.xiaomi.midrop	Tools
com.google.android.apps.travel.onthego	Travel & Local
com.etsy.android	Shopping
com.augmentra.viewranger.android	Health & Fitness
com.facebook.katana	Social
com.inkOfPixel.valuta	Travel & Local
com.whatsapp	Communication
com.google.android.play.games	Entertainment
com.autoscout24	Auto & Vehicles
com.foursquare.robin	Travel & Local
com.decathlon.app	Sports
com.ikea.kompis	Shopping
com.instagram.layout	Photography
com.google.android.gms	Tools
com.google.android.music	Music & Audio
com.pandora.android	Music & Audio
com.opentecheng.android.webank	Finance
com.google.android.calendar	Productivity
com.popularapp.thirtydayfitnesschallenge	Health & Fitness
com.atentertainment.englishconversation500_2	Education
com.dylvian.mango.activities	Lifestyle
com.google.android.apps.tachyon	Communication
com.memrise.android.memrisecompanion	Education
it.telecomitalia.centodiciannove	Tools
com.syncme.syncmeapp	Communication
com.globalegrow.app.gearbest	Shopping
com.plexapp.android	Video Players & Editors
org.geneanet.gw	Social
com.instagram.android	Social
org.coursera.android	Education
com.google.android.apps.photos.scanner	Photography
com.google.android.apps.inbox	Productivity
it.ibs.ibsit	Shopping
com.visitacity.visitacityapp	Travel & Local
com.ebay.mobile	Shopping
de.stocard.stocard	Shopping
com.miui.calculator	Tools
com.cgollner.unclouded	Productivity
com.vpg	Travel & Local
com.ubercab	Maps & Navigation
com.twitter.android	News & Magazines
com.employerland.quiz	Business
ansa.app	News & Magazines
ladenzeile.android	Shopping
yqtrack.app	Productivity
com.ancestry.android.apps.ancestry	Books & Reference
com.oxylane.android.decathlon	Lifestyle
com.fitbit.FitbitMobile	Health & Fitness
com.tozelabs.tvshowtime	Social
com.opera.vpn	Tools
it.dottori.consumer	Medical
com.allaboutradio.radioitalia	Music & Audio
com.duokan.phone.remotecontroller	Tools
com.asos.app	Shopping
homeworkout.homeworkouts.noequipment	Health & Fitness
com.holosfind.showroom	Shopping
com.comuto	Travel & Local
com.polyvore	Lifestyle
com.lynxspa.prontotreno	Maps & Navigation
com.curiosity.dailycuriosity	Education
com.progressit.progressit	Health & Fitness
bbc.mobile.news.ww	News & Magazines
com.google.android.apps.cultural	Education
com.withings.wiscale2	Health & Fitness
com.niksoftware.snapseed	Photography
com.google.android.talk	Communication
org.paoloconte.treni_lite	Travel & Local
com.expedia.bookings	Travel & Local
com.clapp.jobs	Business
com.runtastic.android.libra.lite	Health & Fitness
com.eventbrite.attendee	Entertainment
com.android.chrome	Communication
com.lufthansa.android.lufthansa	Travel & Local
com.outdooractive.seiseralm	Travel & Local
com.runtastic.android	Health & Fitness
net.orlandoairports.mobile	Travel & Local
it.italotreno	Maps & Navigation
com.thinkyeah.galleryvault	Video Players & Editors
com.tripadvisor.tripadvisor	Travel & Local
com.tumblr	Social
it.banzai.ecommerce.eprice	Shopping
com.tcpos.oldwildwest	Lifestyle
com.alltrails.alltrails	Health & Fitness
com.kayak.android	Travel & Local
com.dropbox.android	Productivity
it.dplay	Video Players & Editors
de.zalando.mobile	Shopping
com.mi.android.globalFileexplorer	Tools
com.fastaccess.github	Productivity
com.mapmyhike.android2	Health & Fitness
net.infojobs.mobile.android	Business
com.hobi.android	Entertainment
com.infsoft.android.fraapp	Travel & Local
it.hype.app	Finance
com.fitstream	Health & Fitness
net.skyscanner.android.main	Travel & Local
com.hcom.android	Travel & Local
it.trovaprezzi.android	Shopping
de.zalando.prive	Shopping
com.linkedin.android.jobs.jobseeker	Business
com.alibaba.aliexpresshd	Shopping
com.pinterest	Social
cn.wps.moffice_eng	Productivity
com.amazon.kindle	Books & Reference
com.google.android.apps.maps	Travel & Local
com.evensi.app	Entertainment
com.google.android.inputmethod.latin	Tools
culturetrip.com	Travel & Local
com.gurushots.app	Photography
com.goodreads	Books & Reference
it.esselunga.mobile	Shopping
it.thespacecinema.android	Entertainment
com.satispay.customer	Finance
com.google.android.apps.photos	Photography
com.miui.android.fashiongallery	Personalization
iTunes.Sync.Android	Music & Audio
com.ikea.catalogue.android	Lifestyle
com.monster.android.Views	Business
com.waze	Maps & Navigation
com.spotify.music	Music & Audio
io.faceapp	Photography
com.shpock.android	Shopping
org.wikipedia	Books & Reference
com.google.android.inputmethod.pinyin	Tools
org.familysearch.mobile	Books & Reference
com.miui.enbbs	Communication
it.edo	Health & Fitness
